transaction_id,kept_order_id,trashed_order_id
4497669,24626,24675
4497669,24626,24724
4497669,24626,24773
4497669,24626,24787
4497669,24626,24836
4497669,24626,24885
4497669,24626,24934
4497669,24626,24983
4497669,24626,25032
4497669,24626,25081
4497669,24626,25089
4497669,24626,25138
4497669,24626,25187
4497669,24626,25236
4497669,24626,25285
4495969,24627,24676
4495969,24627,24725
4495969,24627,24774
4495969,24627,24788
4495969,24627,24837
4495969,24627,24886
4495969,24627,24935
4495969,24627,24984
4495969,24627,25033
4495969,24627,25082
4495969,24627,25090
4495969,24627,25139
4495969,24627,25188
4495969,24627,25237
4495969,24627,25286
4491883,24628,24677
4491883,24628,24726
4491883,24628,24775
4491883,24628,24789
4491883,24628,24838
4491883,24628,24887
4491883,24628,24936
4491883,24628,24985
4491883,24628,25034
4491883,24628,25083
4491883,24628,25091
4491883,24628,25140
4491883,24628,25189
4491883,24628,25238
4491883,24628,25287
4487960,24629,24678
4487960,24629,24727
4487960,24629,24776
4487960,24629,24790
4487960,24629,24839
4487960,24629,24888
4487960,24629,24937
4487960,24629,24986
4487960,24629,25035
4487960,24629,25084
4487960,24629,25092
4487960,24629,25141
4487960,24629,25190
4487960,24629,25239
4487960,24629,25288
4485442,24630,24679
4485442,24630,24728
4485442,24630,24777
4485442,24630,24791
4485442,24630,24840
4485442,24630,24889
4485442,24630,24938
4485442,24630,24987
4485442,24630,25036
4485442,24630,25085
4485442,24630,25093
4485442,24630,25142
4485442,24630,25191
4485442,24630,25240
4485442,24630,25289
4482650,24631,24680
4482650,24631,24729
4482650,24631,24778
4482650,24631,24792
4482650,24631,24841
4482650,24631,24890
4482650,24631,24939
4482650,24631,24988
4482650,24631,25037
4482650,24631,25086
4482650,24631,25094
4482650,24631,25143
4482650,24631,25192
4482650,24631,25241
4482650,24631,25290
4481323,24632,24681
4481323,24632,24730
4481323,24632,24779
4481323,24632,24793
4481323,24632,24842
4481323,24632,24891
4481323,24632,24940
4481323,24632,24989
4481323,24632,25038
4481323,24632,25087
4481323,24632,25095
4481323,24632,25144
4481323,24632,25193
4481323,24632,25242
4481323,24632,25291
4480976,24633,24682
4480976,24633,24731
4480976,24633,24780
4480976,24633,24794
4480976,24633,24843
4480976,24633,24892
4480976,24633,24941
4480976,24633,24990
4480976,24633,25039
4480976,24633,25088
4480976,24633,25096
4480976,24633,25145
4480976,24633,25194
4480976,24633,25243
4480976,24633,25292
4472872,24634,24683
4472872,24634,24732
4472872,24634,24781
4472872,24634,24795
4472872,24634,24844
4472872,24634,24893
4472872,24634,24942
4472872,24634,24991
4472872,24634,25040
4472872,24634,25097
4472872,24634,25146
4472872,24634,25195
4472872,24634,25244
4472872,24634,25293
4469891,24635,24684
4469891,24635,24733
4469891,24635,24782
4469891,24635,24796
4469891,24635,24845
4469891,24635,24894
4469891,24635,24943
4469891,24635,24992
4469891,24635,25041
4469891,24635,25098
4469891,24635,25147
4469891,24635,25196
4469891,24635,25245
4469891,24635,25294
4469776,24636,24685
4469776,24636,24734
4469776,24636,24783
4469776,24636,24797
4469776,24636,24846
4469776,24636,24895
